activity,t_start,t_end,duration_sec
sit to lying,1740481483.331,1740481511.871,28.539999961853027
sit to stand,1740481738.516,1740481763.146,24.62999987602234
sit to stand,1740481778.964,1740481784.281,5.316999912261963
stand to sit,1740481803.029,1740481812.073,9.043999910354614
sit to stand,1740481813.086,1740481817.438,4.351999998092651
stand to sit,1740481835.653,1740481842.403,6.75
sit to lying,1740738699.702,1740738706.424,6.7220001220703125
sit to stand,1740738903.602,1740738916.289,12.687000036239624
stand to sit,1740738937.109,1740738940.158,3.0490000247955322
sit to stand,1740738941.167,1740738945.045,3.878000020980835
stand to sit,1740738965.781,1740738990.577,24.796000003814697
