activity_idx,activity_type,activity_name,activity_t_start,activity_t_end,activity_duration_sec,baseline_t_start,baseline_t_end,baseline_duration_sec,time_gap_sec,delta_mean_hr,pct_mean_hr,delta_rmssd,pct_rmssd,delta_sdnn,pct_sdnn,delta_stress_index,pct_stress_index,delta_mean_rr_ms,pct_mean_rr_ms,delta_n_beats,pct_n_beats
1,transfer,sit to stand,1740481738.516,1740481763.146,24.62999987602234,1740481514.22,1740481538.339,24.11899995803833,200.17700004577637,16.591400585522365,22.186389560751294,-5.118487013771318,-29.26044269773621,-33.715739733526405,-71.79025359209272,439.6086434573829,198.10064781379745,-145.68627450980398,-18.157823993743744,-7.0,-29.166666666666668
2,transfer,sit to stand,1740481778.964,1740481784.281,5.316999912261963,1740481514.22,1740481538.339,24.11899995803833,240.625,14.085060267628464,18.83485559121206,-1.9365064984318554,-11.070270820011242,-30.93907604835696,-65.87795886939823,,,-127.16666666666674,-15.849605317823027,-18.0,-75.0
3,transfer,stand to sit,1740481803.029,1740481812.073,9.043999910354614,1740481514.22,1740481538.339,24.11899995803833,264.69000005722046,18.874989100719617,25.240054869684514,-1.8595578878456571,-10.630384891870746,-32.69237119900098,-69.61121533896808,320.5525210084033,144.45044021584772,-161.69696969696975,-20.153340635268354,-13.0,-54.166666666666664
4,transfer,sit to stand,1740481813.086,1740481817.438,4.351999998092651,1740481514.22,1740481538.339,24.11899995803833,274.74699997901917,,,,,,,,,,,,
5,transfer,stand to sit,1740481835.653,1740481842.403,6.75,1740481514.22,1740481538.339,24.11899995803833,297.3140001296997,17.31327883848624,23.151701202353546,4.476820386509541,25.592278740784195,-32.86635770723377,-69.98168134820749,,,-150.83333333333337,-18.799335272122978,-20.0,-83.33333333333334
6,transfer,sit to lying,1740738699.702,1740738706.424,6.7220001220703125,1740481514.22,1740481538.339,24.11899995803833,257161.36299991608,,,,,,,,,,,,
7,transfer,sit to stand,1740738903.602,1740738916.289,12.687000036239624,1740738705.842,1740738770.792,64.95000004768372,132.80999994277954,17.9047779577444,27.196183634013238,-15.263678507780039,-75.32530928143032,-26.21996679586088,-90.68714977363356,,,-194.86065573770497,-21.38128901120645,-57.0,-93.44262295081968
8,transfer,stand to sit,1740738937.109,1740738940.158,3.0490000247955322,1740738705.842,1740738770.792,64.95000004768372,166.31699991226196,,,,,,,,,,,,
9,transfer,sit to stand,1740738941.167,1740738945.045,3.878000020980835,1740738705.842,1740738770.792,64.95000004768372,170.375,,,,,,,,,,,,
10,transfer,stand to sit,1740738965.781,1740738990.577,24.796000003814697,1740738705.842,1740738770.792,64.95000004768372,194.9889998435974,16.34007268418246,24.819498927097143,1.481052654810437,7.308903239072814,-4.643647455905935,-16.06101013049995,,,-181.21779859484786,-19.88431225925156,-54.0,-88.52459016393442
