activity_idx,activity_name,t_start,t_end,duration_sec,mean_hr,rmssd,sdnn,mean_rr_ms,stress_index,n_beats,HR__abs_energy,HR__maximum,HR__root_mean_square,HR_1st_deriv__abs_energy,HR_1st_deriv__maximum,HR_1st_deriv__minimum,HR_1st_deriv__number_peaks__n_1,HR_1st_deriv__root_mean_square,HR_2nd_deriv__abs_energy,HR_2nd_deriv__maximum,HR_2nd_deriv__minimum,HR_2nd_deriv__root_mean_square,HRV_MinNN,HRV_SDRMSSD,HRV_LFn,HRV_TINN,EDA_MAVFD,EDA_Phasic__number_peaks__n_1,EDA_Phasic__number_peaks__n_5,EDA_Range,EDA_Sympathetic,EDA_Tonic_SD
0,sit to lying,1740481483.331,1740481511.871,28.539999961853027,88.04605485946495,24.06761309311748,28.13597583334679,681.4615384615385,364.4887640449438,13.0,,,,,,,,,,,,,639.0,1.216774260652124,,0.0,0.8595505617977528,40.0,30.0,308.0,,77.98105169996471
1,sit to stand,1740481738.516,1740481763.146,24.62999987602234,91.37328675087342,12.374368670764582,13.248490153579047,656.6470588235294,661.5204081632653,17.0,,,,,,,,,,,,,638.0,1.1035901252121578,,0.0,1.3550488599348534,25.0,21.0,379.0,,82.96537193061144
2,sit to stand,1740481778.964,1740481784.281,5.316999912261963,88.86694643297952,15.556349186104045,16.025153838748494,675.1666666666666,,6.0,,,,,,,,,,,,,650.0,1.1284573443251775,,0.0,1.696969696969697,4.0,2.0,120.0,,1.3073738802081052
3,stand to sit,1740481803.029,1740481812.073,9.043999910354614,93.65687526607067,15.633297796690243,14.271858688104473,640.6363636363636,542.4642857142857,11.0,,,,,,,,,,,,,607.0,0.9574724326614583,,0.0,2.168888888888889,12.0,7.0,262.0,,37.54745228885509
4,sit to stand,1740481813.086,1740481817.438,4.351999998092651,,,,,,,,,,,,,,,,,,,,,,,1.4722222222222223,4.0,2.0,96.0,,0.22710556152262967
5,stand to sit,1740481835.653,1740481842.403,6.75,92.0951650038373,21.96967607104544,14.097872179871684,651.5,,4.0,,,,,,,,,,,,,632.0,0.7409677112879284,,0.0,1.5833333333333333,10.0,9.0,163.0,,13.379022423195671
6,sit to lying,1740738699.702,1740738706.424,6.7220001220703125,,,,,,,,,,,,,,,,,,,,,,,0.6646706586826348,5.0,4.0,75.0,,6.203582754666109
7,sit to stand,1740738903.602,1740738916.289,12.687000036239624,83.7404047452896,5.0,2.692582403567252,716.5,,4.0,,,,,,,,,,,,,712.0,0.6218252702059209,,0.0,2.2341772151898733,1.0,1.0,433.0,,22.331070869618923
8,stand to sit,1740738937.109,1740738940.158,3.0490000247955322,,,,,,,,,,,,,,,,,,,,,,,5.605263157894737,5.0,3.0,162.0,,2.9347575674853212
9,sit to stand,1740738941.167,1740738945.045,3.878000020980835,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,264.0,,2.5388329403922265
10,stand to sit,1740738965.781,1740738990.577,24.796000003814697,82.17569947172765,21.744731162590476,24.268901743522196,730.1428571428571,,7.0,,,,,,,,,,,,,707.0,1.2055062753584056,,0.0,1.8449111470113086,20.0,15.0,403.0,,91.44614092931184
