activity_idx,activity_name,hr_differential,activity_t_start,activity_t_end,baseline_t_start,baseline_t_end
1,sit to stand,16.591400585522365,1740481738.516,1740481763.146,1740481514.22,1740481538.339
2,sit to stand,14.085060267628464,1740481778.964,1740481784.281,1740481514.22,1740481538.339
3,stand to sit,18.874989100719617,1740481803.029,1740481812.073,1740481514.22,1740481538.339
4,sit to stand,,1740481813.086,1740481817.438,1740481514.22,1740481538.339
5,stand to sit,17.31327883848624,1740481835.653,1740481842.403,1740481514.22,1740481538.339
6,sit to lying,,1740738699.702,1740738706.424,1740481514.22,1740481538.339
7,sit to stand,17.9047779577444,1740738903.602,1740738916.289,1740738705.842,1740738770.792
8,stand to sit,,1740738937.109,1740738940.158,1740738705.842,1740738770.792
9,sit to stand,,1740738941.167,1740738945.045,1740738705.842,1740738770.792
10,stand to sit,16.34007268418246,1740738965.781,1740738990.577,1740738705.842,1740738770.792
